                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3738,                0.67634,                 0.8916,                 2.4146,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 1.5309,                0.71603,                0.93893,                 1.9956,             0.00020501,             0.00020501,             0.00020501
                      3,                0.96238,                0.84275,                0.96947,                 1.8452,             0.00030794,             0.00030794,             0.00030794
                      4,                0.61103,                0.88397,                0.98779,                 1.8142,             0.00040875,             0.00040875,             0.00040875
                      5,                0.37671,                 0.9313,                0.99695,                 1.7317,             0.00050744,             0.00050744,             0.00050744
                      6,                0.25218,                0.94962,                0.99542,                 1.7773,               0.000604,               0.000604,               0.000604
                      7,                0.14582,                0.95573,                0.99847,                 1.7173,             0.00067159,             0.00067159,             0.00067159
                      8,                0.12117,                0.93435,                0.99847,                 1.7129,             0.00067159,             0.00067159,             0.00067159
                      9,                0.09231,                0.95267,                0.99847,                 1.7012,             0.00066452,             0.00066452,             0.00066452
                     10,                0.07613,                0.96489,                0.99847,                 1.6611,             0.00065745,             0.00065745,             0.00065745
                     11,                 0.0668,                0.96947,                      1,                 1.6946,             0.00065038,             0.00065038,             0.00065038
                     12,                0.05774,                0.96336,                      1,                 1.6599,             0.00064331,             0.00064331,             0.00064331
                     13,                0.04974,                0.96947,                0.99695,                 1.6772,             0.00063625,             0.00063625,             0.00063625
                     14,                0.04229,                0.96947,                0.99847,                 1.6531,             0.00062918,             0.00062918,             0.00062918
                     15,                0.05094,                0.96336,                      1,                 1.6528,             0.00062211,             0.00062211,             0.00062211
                     16,                0.04211,                0.97252,                0.99847,                 1.6609,             0.00061504,             0.00061504,             0.00061504
                     17,                0.03708,                0.97252,                0.99847,                 1.6462,             0.00060797,             0.00060797,             0.00060797
                     18,                0.03275,                0.93282,                0.99695,                 1.7195,              0.0006009,              0.0006009,              0.0006009
                     19,                0.02332,                0.97252,                0.99847,                  1.648,             0.00059383,             0.00059383,             0.00059383
                     20,                0.02974,                0.96947,                0.99847,                 1.6492,             0.00058677,             0.00058677,             0.00058677
                     21,                0.02557,                0.94656,                0.99847,                 1.6665,              0.0005797,              0.0005797,              0.0005797
                     22,                0.03272,                0.96336,                0.99847,                 1.7068,             0.00057263,             0.00057263,             0.00057263
                     23,                0.01879,                0.96336,                      1,                 1.6851,             0.00056556,             0.00056556,             0.00056556
                     24,                0.01438,                0.96794,                0.99847,                  1.646,             0.00055849,             0.00055849,             0.00055849
                     25,                0.02021,                0.97405,                      1,                 1.6824,             0.00055142,             0.00055142,             0.00055142
                     26,                0.01317,                0.97863,                      1,                 1.6419,             0.00054435,             0.00054435,             0.00054435
                     27,                0.01808,                0.96489,                      1,                 1.6584,             0.00053728,             0.00053728,             0.00053728
                     28,                0.01447,                0.97252,                      1,                 1.6465,             0.00053022,             0.00053022,             0.00053022
                     29,                0.02245,                0.96641,                0.99847,                 1.6553,             0.00052315,             0.00052315,             0.00052315
                     30,                0.01366,                0.97863,                      1,                 1.6472,             0.00051608,             0.00051608,             0.00051608
                     31,                0.02332,                0.98015,                0.99847,                 1.6401,             0.00050901,             0.00050901,             0.00050901
                     32,                0.02722,                0.96489,                0.99847,                 1.6543,             0.00050194,             0.00050194,             0.00050194
                     33,                0.01932,                0.97557,                0.99847,                 1.6453,             0.00049487,             0.00049487,             0.00049487
                     34,                0.01407,                 0.9771,                0.99847,                 1.6692,              0.0004878,              0.0004878,              0.0004878
                     35,                0.01699,                0.97405,                0.99847,                 1.6431,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00964,                0.96336,                0.99695,                 1.6533,             0.00047367,             0.00047367,             0.00047367
                     37,                  0.006,                0.98168,                0.99695,                 1.6372,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00694,                0.98015,                0.99695,                 1.6382,             0.00045953,             0.00045953,             0.00045953
                     39,                0.01061,                0.97252,                0.99695,                 1.6462,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00863,                0.97252,                0.99695,                 1.6438,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00924,                0.97863,                0.99695,                 1.6404,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00549,                0.98473,                0.99695,                 1.6372,             0.00043126,             0.00043126,             0.00043126
                     43,                0.01038,                0.98168,                0.99695,                 1.6367,             0.00042419,             0.00042419,             0.00042419
