                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1446,                  3.863,                 1.6547,                0.00358,                0.81464,                0.39966,                0.25742,                 1.2081,                 3.6179,                 1.0447,             0.00040441,             0.00040441,             0.00040441
                      2,                 1.1343,                 1.4362,                 1.0218,                0.00432,                0.76058,                0.62326,                0.47298,                0.98869,                 3.3417,                0.92425,             0.00081295,             0.00081295,             0.00081295
                      3,                0.99179,                 1.0639,                 0.9589,                0.96654,                0.85912,                0.97239,                0.77617,                0.92252,                 1.7002,                 0.8794,              0.0012132,              0.0012132,              0.0012132
                      4,                0.93192,                0.88206,                0.93583,                0.93404,                0.94889,                0.98926,                0.78749,                0.84824,                0.93035,                0.85879,              0.0012129,              0.0012129,              0.0012129
                      5,                0.85842,                0.72876,                0.91325,                0.97678,                0.97436,                0.99374,                0.82708,                 0.7586,                0.59807,                0.82585,              0.0012005,              0.0012005,              0.0012005
                      6,                0.83228,                 0.6452,                0.90091,                0.96667,                0.97828,                 0.9928,                0.84568,                0.74595,                0.60494,                0.82103,              0.0011881,              0.0011881,              0.0011881
                      7,                0.81215,                0.60065,                0.89241,                0.96357,                 0.9902,                0.98912,                0.84392,                0.72906,                0.55352,                0.83858,              0.0011757,              0.0011757,              0.0011757
                      8,                0.77899,                0.56258,                0.88051,                0.97361,                0.96855,                 0.9894,                0.81959,                0.77674,                0.58032,                0.83068,              0.0011634,              0.0011634,              0.0011634
                      9,                0.75951,                0.53494,                0.87912,                0.98268,                0.97626,                0.99299,                 0.8276,                0.77345,                0.49537,                0.81635,               0.001151,               0.001151,               0.001151
                     10,                0.74163,                0.51158,                0.86891,                0.97715,                0.99124,                0.99355,                0.85511,                0.68492,                0.47642,                0.80647,              0.0011386,              0.0011386,              0.0011386
                     11,                0.72788,                0.49926,                0.86593,                 0.9809,                 0.9923,                0.99377,                0.87694,                0.63356,                 0.4593,                0.80121,              0.0011263,              0.0011263,              0.0011263
                     12,                0.72424,                0.49237,                0.86177,                0.98076,                0.98856,                0.99358,                0.87012,                0.65048,                0.46064,                 0.7951,              0.0011139,              0.0011139,              0.0011139
                     13,                0.69936,                0.47541,                 0.8586,                0.97642,                0.99072,                0.99398,                 0.8672,                0.68785,                0.44103,                0.80193,              0.0011015,              0.0011015,              0.0011015
                     14,                0.70777,                0.47069,                0.85431,                0.98421,                0.99447,                0.99425,                0.86693,                0.66692,                0.42332,                0.78578,              0.0010891,              0.0010891,              0.0010891
                     15,                0.67363,                0.44198,                0.85394,                0.96942,                0.99113,                0.99407,                0.88078,                0.62483,                0.43554,                0.78767,              0.0010768,              0.0010768,              0.0010768
                     16,                0.66717,                0.44246,                0.84928,                0.99169,                0.99045,                0.99352,                  0.886,                0.60111,                0.41588,                0.78081,              0.0010644,              0.0010644,              0.0010644
                     17,                0.67334,                0.44227,                0.84987,                0.98733,                0.98661,                0.99366,                0.87429,                0.67173,                0.43415,                0.78839,               0.001052,               0.001052,               0.001052
                     18,                0.66039,                0.43005,                0.85063,                0.98701,                0.98968,                0.99418,                0.88249,                0.61311,                0.41866,                0.78587,              0.0010396,              0.0010396,              0.0010396
                     19,                0.65318,                0.43279,                0.84969,                0.99136,                0.99122,                0.99376,                0.89223,                0.58977,                0.39301,                0.78192,              0.0010273,              0.0010273,              0.0010273
                     20,                0.65129,                0.42113,                0.84729,                0.99133,                 0.9915,                0.99396,                 0.9032,                0.54348,                0.36331,                0.76766,              0.0010149,              0.0010149,              0.0010149
                     21,                 0.6356,                0.41009,                0.84322,                0.98919,                0.99487,                0.99257,                0.88853,                0.60733,                0.38287,                0.77711,              0.0010025,              0.0010025,              0.0010025
                     22,                0.63354,                0.40844,                 0.8381,                0.99124,                0.99527,                0.99456,                0.89248,                0.55864,                0.36699,                0.77113,             0.00099013,             0.00099013,             0.00099013
                     23,                0.62251,                0.39776,                0.83945,                0.99421,                0.99139,                0.99455,                0.90251,                0.58371,                0.37672,                0.77161,             0.00097775,             0.00097775,             0.00097775
                     24,                0.61234,                0.39582,                0.83405,                0.98906,                 0.9941,                0.99385,                0.89546,                0.55582,                0.36115,                0.77163,             0.00096537,             0.00096537,             0.00096537
                     25,                0.61234,                0.39577,                0.83706,                0.99286,                0.98788,                0.99478,                 0.9059,                0.54375,                0.36341,                0.76788,               0.000953,               0.000953,               0.000953
                     26,                0.61527,                0.39861,                0.83498,                 0.9914,                0.98794,                0.99452,                0.90767,                0.54503,                0.35861,                0.77064,             0.00094062,             0.00094062,             0.00094062
