                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6849,                 2.7375,                 1.3654,                 0.9281,                0.90188,                 0.9691,                0.72725,                  1.055,                   1.52,                0.97025,             0.00041369,             0.00041369,             0.00041369
                      2,                 1.0614,                 1.1573,                0.98994,                0.98291,                0.97766,                0.99245,                0.80064,                0.82279,                 0.8027,                0.85303,             0.00082214,             0.00082214,             0.00082214
                      3,                 0.9445,                0.89189,                0.94867,                0.95165,                0.97091,                0.98691,                0.79774,                0.85389,                0.72924,                0.87463,              0.0012223,              0.0012223,              0.0012223
                      4,                0.89643,                0.76326,                0.92754,                0.97242,                0.98591,                0.99358,                0.85618,                0.71028,                0.55821,                0.83228,              0.0012129,              0.0012129,              0.0012129
                      5,                0.84506,                0.64992,                0.90517,                0.97568,                0.98834,                 0.9944,                0.85934,                0.69592,                0.52139,                0.83021,              0.0012129,              0.0012129,              0.0012129
                      6,                0.83187,                 0.6081,                0.89784,                0.97118,                0.98984,                 0.9918,                0.84277,                0.73777,                0.51125,                0.83322,              0.0012005,              0.0012005,              0.0012005
                      7,                0.78081,                 0.5492,                0.88186,                 0.9924,                0.98265,                0.99321,                0.85154,                0.68687,                0.47252,                0.80639,              0.0011881,              0.0011881,              0.0011881
                      8,                0.77533,                0.53972,                0.88096,                0.98878,                0.99162,                0.99457,                0.87726,                0.67212,                0.48861,                0.79984,              0.0011757,              0.0011757,              0.0011757
                      9,                0.76011,                0.51754,                0.87635,                 0.9883,                0.99171,                0.99397,                 0.8465,                0.68854,                 0.4462,                0.80324,              0.0011634,              0.0011634,              0.0011634
                     10,                0.73912,                0.50543,                0.87477,                0.99156,                0.99479,                0.99449,                0.86474,                 0.6842,                 0.4393,                0.80164,               0.001151,               0.001151,               0.001151
                     11,                0.72724,                0.49259,                0.86363,                0.99063,                 0.9905,                0.99433,                0.88039,                0.63263,                0.42066,                0.78967,              0.0011386,              0.0011386,              0.0011386
                     12,                 0.7152,                0.48394,                0.85977,                0.99197,                0.99125,                0.99379,                0.86978,                0.64492,                 0.4386,                 0.7961,              0.0011263,              0.0011263,              0.0011263
                     13,                0.70055,                0.47485,                0.86231,                0.98933,                0.99636,                0.99363,                0.87555,                 0.6191,                0.42007,                0.78676,              0.0011139,              0.0011139,              0.0011139
                     14,                0.69176,                0.46122,                0.85872,                0.98833,                0.99492,                0.99452,                0.89842,                0.59174,                0.40489,                0.78386,              0.0011015,              0.0011015,              0.0011015
                     15,                0.68268,                0.44705,                0.85142,                0.99538,                0.99405,                0.99264,                0.88133,                0.59896,                0.38807,                0.78005,              0.0010891,              0.0010891,              0.0010891
                     16,                0.66313,                0.43621,                0.84846,                0.98721,                0.99023,                0.99456,                0.88973,                0.57205,                0.39364,                0.77859,              0.0010768,              0.0010768,              0.0010768
                     17,                0.66405,                0.43353,                0.84777,                0.98882,                0.99226,                0.99403,                 0.8963,                0.56083,                0.37995,                0.77634,              0.0010644,              0.0010644,              0.0010644
                     18,                0.66224,                0.42692,                0.84801,                0.99314,                0.99326,                0.99362,                  0.901,                0.53825,                0.36674,                0.77237,               0.001052,               0.001052,               0.001052
                     19,                0.65302,                 0.4259,                 0.8495,                0.99248,                0.99343,                0.99413,                0.89592,                 0.5748,                0.39361,                0.77578,              0.0010396,              0.0010396,              0.0010396
                     20,                0.64998,                0.42523,                0.84862,                0.99449,                0.99339,                0.99443,                0.90257,                0.53745,                0.36522,                0.76954,              0.0010273,              0.0010273,              0.0010273
                     21,                0.62839,                0.41406,                0.84126,                0.99369,                0.99309,                0.99284,                0.89583,                0.59034,                0.36298,                0.77088,              0.0010149,              0.0010149,              0.0010149
                     22,                0.63757,                0.40608,                0.84115,                0.99456,                0.99612,                0.99387,                0.89455,                0.56093,                0.36453,                0.76729,              0.0010025,              0.0010025,              0.0010025
                     23,                0.62519,                0.40124,                0.83665,                0.98691,                0.99601,                0.99339,                 0.9041,                0.55081,                0.35775,                0.76524,             0.00099013,             0.00099013,             0.00099013
                     24,                0.62701,                0.39898,                0.83872,                0.99331,                0.99482,                0.99325,                0.89656,                0.55494,                0.35957,                0.76771,             0.00097775,             0.00097775,             0.00097775
                     25,                 0.6475,                0.40232,                0.84272,                 0.9939,                0.99533,                0.99458,                0.90719,                0.52589,                0.34222,                0.76066,             0.00096537,             0.00096537,             0.00096537
                     26,                0.61086,                0.39115,                0.83677,                0.99131,                0.99574,                0.99373,                0.91441,                0.54463,                0.36998,                0.76306,               0.000953,               0.000953,               0.000953
                     27,                0.60752,                0.39061,                0.83682,                0.99316,                0.99462,                0.99429,                0.91129,                  0.529,                0.33486,                0.76206,             0.00094062,             0.00094062,             0.00094062
                     28,                0.60583,                0.38251,                0.83173,                  0.993,                0.99236,                0.99324,                0.91625,                0.52997,                0.35119,                0.76266,             0.00092825,             0.00092825,             0.00092825
                     29,                0.59593,                0.38021,                0.83299,                0.98952,                0.99319,                0.99412,                0.90741,                0.53845,                0.34579,                0.76211,             0.00091588,             0.00091588,             0.00091588
                     30,                0.59963,                0.38138,                 0.8331,                0.98902,                0.99413,                0.99375,                0.90617,                0.55041,                 0.3468,                0.76406,              0.0009035,              0.0009035,              0.0009035
                     31,                0.59916,                 0.3777,                0.83683,                0.99281,                0.99247,                0.99439,                0.91012,                0.52354,                0.33069,                0.76276,             0.00089112,             0.00089112,             0.00089112
                     32,                 0.5822,                0.37228,                0.82922,                0.99117,                0.99414,                0.99339,                0.91492,                0.52693,                0.33375,                0.76069,             0.00087875,             0.00087875,             0.00087875
                     33,                0.59719,                0.37416,                0.83279,                0.99436,                0.99635,                0.99305,                0.90774,                0.51622,                0.32461,                0.75869,             0.00086637,             0.00086637,             0.00086637
                     34,                 0.5762,                0.36867,                0.83019,                0.98827,                0.99545,                0.99344,                0.90377,                0.55846,                0.33823,                0.76097,               0.000854,               0.000854,               0.000854
                     35,                0.58349,                0.37183,                0.82771,                0.99392,                0.99284,                 0.9943,                0.90782,                0.52464,                0.31957,                0.75483,             0.00084162,             0.00084162,             0.00084162
                     36,                 0.5839,                0.36983,                0.83134,                0.99521,                0.99205,                0.99307,                0.91782,                0.52356,                0.32634,                0.76195,             0.00082925,             0.00082925,             0.00082925
