                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6908,                 2.8565,                 1.3712,                  0.901,                0.75586,                0.88921,                0.63841,                 1.0901,                 1.8868,                0.99436,             0.00041363,             0.00041363,             0.00041363
                      2,                 1.0556,                 1.2312,                0.99257,                0.92181,                0.94444,                0.94311,                0.75399,                0.88067,                0.88825,                0.91001,             0.00082207,             0.00082207,             0.00082207
                      3,                0.96845,                 1.0069,                0.95871,                0.92261,                0.93631,                 0.9439,                0.75897,                0.90293,                0.83257,                0.87794,              0.0012223,              0.0012223,              0.0012223
                      4,                0.93229,                0.86031,                0.93892,                 0.9244,                0.95038,                0.94426,                  0.803,                0.71408,                0.61531,                0.84192,              0.0012129,              0.0012129,              0.0012129
                      5,                0.86963,                0.74903,                0.91592,                0.92105,                0.95083,                0.95094,                0.80106,                0.75613,                0.62551,                0.83379,              0.0012129,              0.0012129,              0.0012129
                      6,                0.82633,                0.68865,                0.90162,                0.93249,                 0.9486,                0.96588,                0.83547,                0.65592,                0.56418,                0.80678,              0.0012005,              0.0012005,              0.0012005
                      7,                 0.7944,                 0.6462,                0.89121,                0.93539,                0.94658,                0.94045,                0.79539,                0.73754,                0.59445,                0.83166,              0.0011881,              0.0011881,              0.0011881
                      8,                0.76667,                0.62908,                0.88207,                0.92528,                0.95403,                0.95623,                0.82839,                0.67806,                0.58328,                0.81214,              0.0011757,              0.0011757,              0.0011757
                      9,                0.75974,                0.59799,                0.87608,                0.93288,                0.95916,                 0.9677,                0.84877,                0.65464,                0.53006,                0.80989,              0.0011634,              0.0011634,              0.0011634
                     10,                0.76501,                0.59507,                0.87857,                0.93109,                0.96078,                 0.9619,                0.85759,                 0.6203,                0.52061,                0.79726,               0.001151,               0.001151,               0.001151
                     11,                  0.719,                0.56127,                0.86873,                0.95192,                0.96217,                0.97719,                0.85979,                0.63071,                0.49697,                0.80122,              0.0011386,              0.0011386,              0.0011386
                     12,                0.72334,                0.56041,                0.86761,                 0.9514,                0.96041,                0.96261,                0.85628,                0.59506,                 0.5146,                0.79242,              0.0011263,              0.0011263,              0.0011263
                     13,                0.69632,                0.53586,                0.85645,                0.94733,                0.93941,                0.96972,                0.85216,                0.62485,                0.50739,                0.79454,              0.0011139,              0.0011139,              0.0011139
                     14,                0.69213,                0.53347,                0.86304,                0.95956,                 0.9577,                0.97459,                0.86785,                0.61519,                0.49499,                 0.7951,              0.0011015,              0.0011015,              0.0011015
                     15,                0.69106,                0.52491,                0.85975,                0.95899,                0.97402,                0.97653,                0.86729,                0.58345,                0.46025,                0.78612,              0.0010891,              0.0010891,              0.0010891
                     16,                0.67361,                0.50182,                0.85488,                0.94853,                0.96332,                 0.9736,                 0.8788,                 0.5401,                0.45025,                0.77628,              0.0010768,              0.0010768,              0.0010768
                     17,                0.67257,                0.50053,                0.85684,                0.96174,                0.97106,                0.97045,                 0.8749,                0.58362,                0.45003,                 0.7864,              0.0010644,              0.0010644,              0.0010644
                     18,                0.66805,                0.50301,                0.85747,                0.96262,                0.96847,                0.97562,                0.87907,                0.58632,                0.46221,                0.79451,               0.001052,               0.001052,               0.001052
                     19,                0.67006,                0.50831,                0.85819,                0.95727,                0.96581,                0.97644,                0.87981,                0.56752,                0.45124,                0.78539,              0.0010396,              0.0010396,              0.0010396
                     20,                0.64869,                0.48736,                0.84881,                0.96155,                0.97043,                 0.9827,                0.88209,                0.58125,                0.46074,                0.77885,              0.0010273,              0.0010273,              0.0010273
                     21,                 0.6612,                0.48871,                0.84816,                0.96573,                0.97443,                0.98091,                0.89317,                0.54325,                0.40154,                0.77686,              0.0010149,              0.0010149,              0.0010149
                     22,                0.64826,                0.46764,                0.84477,                0.96143,                0.97378,                0.98398,                0.90361,                0.53256,                0.42117,                 0.7706,              0.0010025,              0.0010025,              0.0010025
                     23,                0.63971,                0.46907,                0.84621,                0.92669,                 0.9467,                0.97842,                0.87755,                0.57735,                0.49883,                0.77926,             0.00099013,             0.00099013,             0.00099013
                     24,                0.63211,                0.46117,                0.84092,                0.96342,                0.96666,                0.98353,                0.89594,                 0.5318,                0.41551,                 0.7771,             0.00097775,             0.00097775,             0.00097775
                     25,                0.60891,                 0.4485,                0.83794,                0.92038,                0.91395,                0.96595,                0.87691,                0.54449,                0.52074,                0.77359,             0.00096537,             0.00096537,             0.00096537
                     26,                 0.6324,                0.45825,                0.84664,                0.88468,                0.93742,                0.95516,                0.87037,                0.53468,                0.53443,                0.77171,               0.000953,               0.000953,               0.000953
                     27,                 0.6218,                0.44988,                0.84023,                 0.9626,                0.96523,                0.98428,                0.89028,                0.54855,                0.43243,                0.77791,             0.00094062,             0.00094062,             0.00094062
                     28,                0.60859,                 0.4359,                0.83799,                0.96633,                0.97178,                0.98427,                0.89639,                0.53533,                0.40479,                0.76939,             0.00092825,             0.00092825,             0.00092825
                     29,                0.60703,                0.42963,                0.83833,                0.96355,                0.97509,                0.98795,                0.89757,                0.52236,                0.38938,                 0.7692,             0.00091588,             0.00091588,             0.00091588
